local_id,year,month,home,office,industry,change(home),change(office),change(industry)
22,2022,2,306579,605954,476091,0.5714529404238986,-4.416573468380148,-6.781340251603113
22,2022,3,269846,533183,483313,-11.98157734221848,-12.009327440696818,1.5169368881159275
22,2022,4,276233,499782,471986,2.3669055683612132,-6.2644532927719005,-2.343615834873053
22,2022,5,254325,485495,452564,-7.930985798221067,-2.8586463698172406,-4.114952562152268
22,2022,6,271074,548040,468647,6.585667944559128,12.882727937465885,3.5537515135980766
22,2022,7,352692,645668,497051,30.109121494499657,17.814028173126047,6.0608517711625165
22,2022,8,403228,661041,468468,14.32864935978134,2.3809450057924506,-5.750516546591798
22,2022,9,329788,573367,455288,-18.21302092116619,-13.263019994221237,-2.8134258903489675
22,2022,10,261969,495332,453686,-20.56442320521062,-13.609956624640066,-0.3518651930206814
22,2022,11,267929,489285,478081,2.275078348964954,-1.2207973641920973,5.377066958204573
22,2022,12,281969,576695,495075,5.240194230561081,17.864843598311822,3.5546277722812656
23,2020,1,363937,807766,936329,6.915768692934112,4.110058681981809,-5.886651355168134
23,2020,2,362782,765934,933616,-0.31736262045354,-5.178727502766891,-0.28974858196210945
23,2020,3,339840,685005,973137,-6.323908021897448,-10.566053994208378,4.2331108292917
23,2020,4,341388,613539,929895,0.4555084745762712,-10.432916548054394,-4.443567555236313
23,2020,5,323277,583374,894460,-5.305107385145348,-4.916557871626743,-3.81064528790885
23,2020,6,334429,627763,910982,3.449673190483703,7.609012400278381,1.8471479999105607
23,2020,7,348637,682415,931228,4.248435392863657,8.705833252357976,2.222436886788103
23,2020,8,419523,733900,922306,20.3323227310928,7.544529355304324,-0.9580897481604934
23,2020,9,434803,686796,990502,3.642231772751434,-6.418313121678702,7.39407528520903
23,2020,10,324640,583936,875234,-25.336301727448983,-14.97679077921246,-11.637331373384404
23,2020,11,338975,631356,915120,4.415660423854115,8.120752959228408,4.557181279520677
23,2020,12,362643,739667,989429,6.982225827863411,17.155297486679462,8.120137249759594
23,2021,1,404522,841610,1012491,11.548271992014184,13.782283108479898,2.3308393022642355
23,2021,2,388677,775723,925030,-3.9169686691947536,-7.828685495657134,-8.638200240792264
23,2021,3,335626,681654,1004021,-13.649122536193293,-12.126622518605224,8.53929061760159
23,2021,4,343820,625424,982915,2.441407995804854,-8.24905303863837,-2.1021472658440414
23,2021,5,326685,597521,980053,-4.983712407655169,-4.461453350047328,-0.2911747200927852
23,2021,6,341781,652072,1006843,4.6209651499150555,9.129553605647333,2.7335256358584687
23,2021,7,411503,749536,1030257,20.39961261743631,14.94681568906501,2.3254866945492
23,2021,8,555107,807431,1024947,34.8974369567172,7.7241119839474015,-0.5154053794344517
23,2021,9,410626,709487,945057,-26.02759467994459,-12.130324448776427,-7.794549376699478
23,2021,10,348830,642121,934070,-15.049217536152119,-9.49502950723551,-1.1625753790512106
23,2021,11,352653,661782,931980,1.09594931628587,3.061883975138642,-0.22375196719731927
23,2021,12,366950,779483,1012890,4.054126861248877,17.785464095427194,8.681516770746153
23,2022,1,407497,897333,1075778,11.049734296225644,15.118995539351083,6.208768968002448
23,2022,2,404692,832007,944808,-0.6883486258794543,-7.280017563156599,-12.17444491335573
23,2022,3,359210,765953,1013754,-11.238670396251964,-7.939115896861444,7.297355653212081
23,2022,4,360832,671568,988933,0.45154644915230646,-12.322557650404137,-2.448424371198535
23,2022,5,332217,634458,973360,-7.930283345157857,-5.525873775998857,-1.5747275093459314
23,2022,6,346122,690766,933361,4.18551729742909,8.874976751810207,-4.1093737157886085
23,2022,7,442033,810080,1020802,27.71017155800556,17.272708847858752,9.368400865260066
23,2022,8,530130,861267,970166,19.929959980363456,6.318758641121865,-4.960413478813717
23,2022,9,429158,761505,929772,-19.046648935166846,-11.58316758914483,-4.163617360328026
23,2022,10,354052,666978,889904,-17.50078059828781,-12.413181791321133,-4.287932955606321
23,2022,11,356392,675191,961317,0.6609198648786053,1.231374947899331,8.024798180477895
23,2022,12,382592,841787,991067,7.351455700464657,24.67390708703167,3.0947127742461644
24,2020,1,179055,352544,224932,7.864457831325302,9.422167871453535,0.837879881468464
24,2020,2,180774,336914,222378,0.9600402111083187,-4.4334891531269855,-1.135454270624011
24,2020,3,169153,299353,228379,-6.428468695719518,-11.148542357990467,2.6985583106242528
24,2020,4,172634,281237,206787,2.0579002441576564,-6.051718205596737,-9.454459473068889
24,2020,5,162424,264957,183482,-5.914246324594228,-5.788712011577424,-11.2700508252453
24,2020,6,167027,295520,222757,2.8339407969265626,11.535079277014761,21.405369464034617
24,2020,7,172967,309981,240788,3.5563112550665457,4.893408229561451,8.094470656365456
24,2020,8,212061,340681,233186,22.60199922528575,9.903832815559662,-3.1571340764489926
24,2020,9,232472,332533,245359,9.625060713662577,-2.3916801934947944,5.220296244199909
24,2020,10,162873,262700,219134,-29.93865927939709,-21.000321772575955,-10.688419825643242
24,2020,11,167079,277441,236914,2.582380136670903,5.611343738104301,8.11375687935236
24,2020,12,175508,316752,242353,5.044918870713854,14.169138663715888,2.2957697729977964
24,2021,1,195429,366805,249628,11.350479750210816,15.801952316007476,3.0018196597525098
24,2021,2,189546,340267,237413,-3.0103004160078597,-7.234906830604817,-4.893281202429215
24,2021,3,164434,295911,237415,-13.248499045086682,-13.035645537181095,0.0008424138526533931
24,2021,4,170284,286440,239327,3.5576583918167772,-3.200624512099922,0.8053408588336879
24,2021,5,161234,269470,229046,-5.314650818632402,-5.924451892193828,-4.295796128309802
24,2021,6,168214,297815,247705,4.329111725814654,10.518796155416188,8.14639854003126
24,2021,7,190071,341885,258988,12.993567717312471,14.797777143528702,4.555015038049293
24,2021,8,252671,378914,244935,32.935061108743575,10.830834929874081,-5.426120129117951
24,2021,9,204989,338495,238273,-18.871180309572527,-10.66706429427258,-2.7199052809929163
24,2021,10,171532,300577,233493,-16.321363585363116,-11.20193799022142,-2.0061022440645813
24,2021,11,171344,292729,246738,-0.10960054100692582,-2.610978218559637,5.672546928601714
24,2021,12,176165,330591,254656,2.8136380614436454,12.93414728298187,3.209071971078634
24,2022,1,192007,376212,257662,8.9927057020407,13.79983121137599,1.180415933651671
24,2022,2,192382,358340,237813,0.1953053794913727,-4.750513008622797,-7.70350303886487
24,2022,3,170870,320672,243857,-11.181919306380014,-10.51180443154546,2.541492685429308
24,2022,4,175471,300715,236705,2.692690349388424,-6.223493164354855,-2.9328663930090175
24,2022,5,160248,278806,233364,-8.675507633740049,-7.285635901102373,-1.4114615238376882
24,2022,6,166889,311626,239049,4.144201487694074,11.771626148648163,2.4361083971820845
24,2022,7,210801,371045,256952,26.312099659054823,19.067407725927875,7.489259524197968
24,2022,8,250701,391060,250253,18.92780394779911,5.394224420218572,-2.607101715495501
24,2022,9,216161,355096,235630,-13.77736825940064,-9.196542730015853,-5.843286593966906
24,2022,10,170660,299008,221910,-21.049588038545345,-15.79516525108703,-5.822688112719093
24,2022,11,167877,287701,234945,-1.6307277628032344,-3.7815041738013697,5.874002974178722
24,2022,12,175613,334483,234270,4.6081357184128855,16.260631697491494,-0.2873012832790653
25,2020,1,170132,485405,197590,8.077272467395517,8.720143704420433,0.42591689029844676
25,2020,2,171238,462978,196622,0.6500834646039546,-4.62026555144673,-0.4899033351890278
25,2020,3,159805,413902,197621,-6.67667223396676,-10.600071709670871,0.5080814964754707
25,2020,4,163371,375281,181677,2.231469603579362,-9.330952737604553,-8.06796848513063
25,2020,5,151937,363337,170181,-6.9987941556334965,-3.1826817771216773,-6.3277134695090735
25,2020,6,157068,406165,193002,3.3770575962405474,11.787403980326804,13.409840111410793
25,2020,7,164014,433239,202180,4.4222884355820415,6.665763913680401,4.755391135843152
25,2020,8,187998,464019,199815,14.623141926908678,7.104623544971712,-1.1697497279651796
25,2020,9,218534,452290,203154,16.242725986446665,-2.5276982192539528,1.671045717288492
25,2020,10,151423,394125,184069,-30.709637859555034,-12.860111875124366,-9.394351083414552
25,2020,11,158121,361679,193930,4.423370293812697,-8.232413574373613,5.357230169121363
25,2020,12,165991,450227,203076,4.977201004294179,24.482483085830253,4.7161346877739385
25,2021,1,186458,512600,213744,12.330186576380648,13.85367825563549,5.253205696389529
25,2021,2,182892,471004,193244,-1.9124950390972766,-8.114709325009754,-9.590912493450109
25,2021,3,155500,413927,202527,-14.977144981737855,-12.11815610907763,4.803771397818302
25,2021,4,162563,388456,200303,4.542122186495177,-6.1535004964643525,-1.0981251882465053
25,2021,5,151816,368560,188596,-6.610975437215111,-5.121815598162984,-5.844645362276152
25,2021,6,159382,409201,206125,4.983664435896085,11.026969828521814,9.294470720481876
25,2021,7,177151,467616,217669,11.148686802775721,14.275380558698537,5.600485142510612
25,2021,8,246980,504451,214349,39.41778482763292,7.877189830972421,-1.5252516435505286
25,2021,9,191805,438456,200584,-22.339865576160012,-13.082539235723589,-6.421770103895982
25,2021,10,158813,397247,198297,-17.200802898777404,-9.398662579597497,-1.1401707015514697
25,2021,11,162384,399855,191571,2.2485564783739367,0.6565184884970812,-3.3918818741584595
25,2021,12,166905,453890,193683,2.784141294708838,13.513648697652899,1.1024633164727438
25,2022,1,183876,515633,213714,10.16805967466523,13.603075635065764,10.342157029785785
25,2022,2,185326,490928,196264,0.7885749091779243,-4.79119839110375,-8.165117867804636
25,2022,3,163341,446335,200752,-11.862879466453709,-9.083409379786852,2.286715852117556
25,2022,4,169188,415578,194734,3.5796278950171727,-6.891012356189857,-2.997728540687017
25,2022,5,152645,396014,193748,-9.777880227912144,-4.707660174503944,-0.506331714030421
25,2022,6,157946,436613,198524,3.4727636018212196,10.25191028599999,2.4650577038214587
25,2022,7,200021,512362,218035,26.63885125295987,17.349231470432624,9.828030867804397
25,2022,8,238299,525858,208832,19.136990615985322,2.6340751265706666,-4.220881968491297
25,2022,9,202773,462900,192578,-14.908161595306737,-11.972433622765081,-7.78328991725406
25,2022,10,159921,405314,190347,-21.13299107869391,-12.440267876431195,-1.1584916241730625
25,2022,11,160764,399852,189289,0.527135273041064,-1.347597171575618,-0.555826989655734
25,2022,12,168019,471061,199477,4.512826254634121,17.808839270530097,5.38224619497171
26,2020,1,135479,357451,2420906,7.813942384211364,9.034810512701627,-0.17166521859790382
26,2020,2,137299,353974,2216161,1.343381631101499,-0.9727207365485059,-8.457370918160391
26,2020,3,129140,327520,2399461,-5.942505043736662,-7.4734302519394085,8.271059728963735
26,2020,4,131711,304131,2266394,1.990862629704197,-7.141243282852956,-5.54570380597976
26,2020,5,122140,279365,2283492,-7.266667172825353,-8.143201449375434,0.7544142810120393
26,2020,6,123228,300486,2086768,0.8907810709022433,7.560360102375029,-8.61505098331853
26,2020,7,125140,315903,2279119,1.5515954166260915,5.130688284978335,9.217651411177476
26,2020,8,152399,346721,2372331,21.78280326034841,9.755526221656648,4.08982593712746
26,2020,9,177919,375828,2298114,16.745516702865505,8.394934255496494,-3.1284420260073316
26,2020,10,122082,297534,2351153,-31.38338232566505,-20.832402056259777,2.3079359857692
26,2020,11,124906,304818,2283424,2.313199325043823,2.448123575793019,-2.88067173850447
26,2020,12,130255,331890,2393073,4.2824203801258545,8.881365273704308,4.801955309219838
26,2021,1,146725,374594,2422465,12.644428236919888,12.866913736478955,1.2282115923751593
26,2021,2,143187,331983,2171623,-2.4113136820582723,-11.375248936181572,-10.354824527908555
26,2021,3,122957,307055,2382588,-14.128377576176609,-7.508818222619833,9.714623578770349
26,2021,4,128479,317562,2270571,4.491000919020471,3.421862532771002,-4.701484268367002
26,2021,5,120716,298659,2263421,-6.042232582756715,-5.952538401949855,-0.31489876335071665
26,2021,6,124792,333316,2227344,3.376520096756022,11.60420412577555,-1.5939146981493943
26,2021,7,133045,353921,2394865,6.6134047054298355,6.181821454715646,7.521110344877127
