Year,Month,지역,local_id,가정용,업무용,산업용
2021,03,경  남,38,365227,859153,1767280
2021,03,제  주,39,71170,221324,158310
2021,03,세  종,29,44544,98310,153144
2021,04,서  울,11,1088228,2236928,124100
2021,04,부  산,21,385927,655968,612444
2021,04,대  구,22,268708,478033,463280
2021,04,인  천,23,343820,625424,982915
2021,04,광  주,24,170284,286440,239327
2021,04,대  전,25,162563,388456,200303
2021,04,울  산,26,128479,317562,2270571
2021,04,경  기,31,1569568,3222217,5546553
2021,04,강  원,32,178952,615469,540093
2021,04,충  북,33,184057,528578,1561368
2021,04,충  남,34,244715,663008,2968849
2021,04,전  북,35,203404,486654,1035412
2021,04,전  남,36,200173,567067,1903252
2021,04,경  북,37,290495,834828,2494287
2021,04,경  남,38,371558,803647,1706345
2021,04,제  주,39,71797,225178,164847
2021,04,세  종,29,46894,91899,148729
2021,05,서  울,11,1037349,2174433,112979
2021,05,부  산,21,362825,624555,584840
2021,05,대  구,22,252834,457612,442968
2021,05,인  천,23,326685,597521,980053
2021,05,광  주,24,161234,269470,229046
2021,05,대  전,25,151816,368560,188596
2021,05,울  산,26,120716,298659,2263421
2021,05,경  기,31,1494817,3027494,5502618
2021,05,강  원,32,168101,584272,539327
2021,05,충  북,33,172405,469611,1590662
2021,05,충  남,34,230502,599058,3047966
2021,05,전  북,35,190504,437351,1039835
2021,05,전  남,36,188520,534865,1998716
2021,05,경  북,37,274339,769430,2556754
2021,05,경  남,38,352036,750572,1610185
2021,05,제  주,39,66604,219098,145255
2021,05,세  종,29,43857,86462,144865
2021,06,서  울,11,1103096,2476431,122093
2021,06,부  산,21,376662,686828,613462
2021,06,대  구,22,264565,505638,462349
2021,06,인  천,23,341781,652072,1006843
2021,06,광  주,24,168214,297815,247705
2021,06,대  전,25,159382,409201,206125
2021,06,울  산,26,124792,333316,2227344
2021,06,경  기,31,1563636,3292013,5657148
2021,06,강  원,32,170905,570802,532466
2021,06,충  북,33,179449,479059,1625031
2021,06,충  남,34,239272,587932,2943659
2021,06,전  북,35,194877,451723,1050850
2021,06,전  남,36,192726,527678,1927700
2021,06,경  북,37,281034,791259,2433783
2021,06,경  남,38,362029,803122,1657646
2021,06,제  주,39,70398,234487,132559
2021,06,세  종,29,46213,93803,152874
2021,07,서  울,11,1360522,2908669,137360
2021,07,부  산,21,420392,796379,644608
2021,07,대  구,22,292485,570728,481449
2021,07,인  천,23,411503,749536,1030257
2021,07,광  주,24,190071,341885,258988
2021,07,대  전,25,177151,467616,217669
2021,07,울  산,26,133045,353921,2394865
2021,07,경  기,31,1845645,3696753,6055053
2021,07,강  원,32,181682,566223,572916
2021,07,충  북,33,197238,511321,1695877
2021,07,충  남,34,265144,643173,3228898
2021,07,전  북,35,213226,492748,1097487
2021,07,전  남,36,216369,579023,2060956
2021,07,경  북,37,307665,852004,2542530
