local_id,년-월,총인구수
32,2021-02,1540875
32,2021-03,1536399
32,2021-04,1536175
32,2021-05,1535491
32,2021-06,1535530
32,2021-07,1536140
32,2021-08,1536270
32,2021-09,1536765
32,2021-10,1537717
32,2021-11,1538273
32,2021-12,1538492
32,2022-01,1538660
32,2022-02,1539051
32,2022-03,1539036
32,2022-04,1539038
32,2022-05,1539005
32,2022-06,1539064
32,2022-07,1539178
32,2022-08,1538801
32,2022-09,1537396
32,2022-10,1537339
32,2022-11,1536863
32,2022-12,1536498
33,2020-01,1599391
33,2020-02,1598599
33,2020-03,1597639
33,2020-04,1596613
33,2020-05,1596710
33,2020-06,1597593
33,2020-07,1597936
33,2020-08,1598162
33,2020-09,1598536
33,2020-10,1599102
33,2020-11,1599680
33,2020-12,1600837
33,2021-01,1599658
33,2021-02,1599122
33,2021-03,1595714
33,2021-04,1596303
33,2021-05,1596955
33,2021-06,1597503
33,2021-07,1597501
33,2021-08,1597179
33,2021-09,1596765
33,2021-10,1596948
33,2021-11,1597019
33,2021-12,1597427
33,2022-01,1597097
33,2022-02,1597022
33,2022-03,1597484
33,2022-04,1597284
33,2022-05,1597033
33,2022-06,1597118
33,2022-07,1597163
33,2022-08,1596886
33,2022-09,1595624
33,2022-10,1595578
33,2022-11,1595284
33,2022-12,1595058
34,2020-01,2122455
34,2020-02,2120995
34,2020-03,2119749
34,2020-04,2118457
34,2020-05,2118510
34,2020-06,2119771
34,2020-07,2120692
34,2020-08,2120519
34,2020-09,2120559
34,2020-10,2120347
34,2020-11,2120607
34,2020-12,2121029
34,2021-01,2119837
34,2021-02,2119542
34,2021-03,2115823
34,2021-04,2116452
34,2021-05,2117260
34,2021-06,2117400
34,2021-07,2118205
34,2021-08,2118183
34,2021-09,2118098
34,2021-10,2118977
34,2021-11,2119529
34,2021-12,2119257
34,2022-01,2118638
34,2022-02,2118912
34,2022-03,2119099
34,2022-04,2119296
34,2022-05,2119661
34,2022-06,2120201
34,2022-07,2121011
34,2022-08,2121082
34,2022-09,2120269
34,2022-10,2121333
34,2022-11,2122357
34,2022-12,2123037
35,2020-01,1817302
35,2020-02,1815112
35,2020-03,1812936
35,2020-04,1811619
35,2020-05,1810097
35,2020-06,1808802
35,2020-07,1808044
35,2020-08,1807094
35,2020-09,1806441
35,2020-10,1805937
35,2020-11,1805204
35,2020-12,1804104
35,2021-01,1802748
35,2021-02,1801319
35,2021-03,1797450
35,2021-04,1796331
35,2021-05,1794682
35,2021-06,1794345
35,2021-07,1793902
35,2021-08,1792476
35,2021-09,1791110
35,2021-10,1789770
35,2021-11,1788616
35,2021-12,1786855
35,2022-01,1785392
35,2022-02,1783923
35,2022-03,1782205
35,2022-04,1780824
35,2022-05,1779230
35,2022-06,1778279
35,2022-07,1776949
35,2022-08,1775664
35,2022-09,1772596
35,2022-10,1771776
35,2022-11,1770839
35,2022-12,1769607
36,2020-01,1864712
36,2020-02,1861894
36,2020-03,1859290
36,2020-04,1857083
36,2020-05,1855945
36,2020-06,1854618
36,2020-07,1853339
36,2020-08,1851985
36,2020-09,1851124
36,2020-10,1850680
36,2020-11,1850557
36,2020-12,1851549
36,2021-01,1850575
36,2021-02,1849795
36,2021-03,1844811
36,2021-04,1844148
36,2021-05,1842423
36,2021-06,1840921
36,2021-07,1839698
36,2021-08,1838353
36,2021-09,1835690
36,2021-10,1834653
36,2021-11,1833864
36,2021-12,1832803
36,2022-01,1832604
36,2022-02,1831451
36,2022-03,1829501
36,2022-04,1828550
36,2022-05,1827674
36,2022-06,1826440
36,2022-07,1825534
36,2022-08,1824104
36,2022-09,1820458
36,2022-10,1819157
36,2022-11,1818484
36,2022-12,1817697
37,2020-01,2662508
37,2020-02,2658956
37,2020-03,2653418
37,2020-04,2651054
37,2020-05,2648760
37,2020-06,2646493
37,2020-07,2644001
37,2020-08,2640932
37,2020-09,2640003
37,2020-10,2639763
37,2020-11,2639245
37,2020-12,2639422
37,2021-01,2637639
37,2021-02,2636747
37,2021-03,2635563
37,2021-04,2635896
37,2021-05,2633592
37,2021-06,2632401
37,2021-07,2631649
37,2021-08,2630254
37,2021-09,2628344
37,2021-10,2627925
37,2021-11,2627468
37,2021-12,2626609
37,2022-01,2624310
37,2022-02,2622026
37,2022-03,2619641
37,2022-04,2617552
37,2022-05,2616177
37,2022-06,2613963
37,2022-07,2612016
37,2022-08,2609356
37,2022-09,2605066
37,2022-10,2603389
37,2022-11,2602052
37,2022-12,2600492
38,2020-01,3361344
38,2020-02,3358828
38,2020-03,3355341
38,2020-04,3353380
38,2020-05,3351347
38,2020-06,3349454
38,2020-07,3347637
38,2020-08,3345169
38,2020-09,3343770
38,2020-10,3342831
38,2020-11,3341063
38,2020-12,3340216
38,2021-01,3338396
38,2021-02,3336045
38,2021-03,3330463
38,2021-04,3329623
38,2021-05,3327298
38,2021-06,3325840
38,2021-07,3324735
38,2021-08,3322373
38,2021-09,3319271
38,2021-10,3318161
38,2021-11,3316365
38,2021-12,3314183
38,2022-01,3311438
38,2022-02,3307005
38,2022-03,3303274
38,2022-04,3300692
38,2022-05,3298016
38,2022-06,3295615
38,2022-07,3293709
38,2022-08,3290991
38,2022-09,3286470
38,2022-10,3284495
