,year,year,month,month,0-9(population),0-9(confirmed_case),0-9(rate),10-19(population),10-19(confirmed_case),10-19(rate),20-29(population),20-29(confirmed_case),20-29(rate),30-39(population),30-39(confirmed_case),30-39(rate),40-49(population),40-49(confirmed_case),40-49(rate),50-59(population),50-59(confirmed_case),50-59(rate),60-69(population),60-69(confirmed_case),60-69(rate),70-79(population),70-79(confirmed_case),70-79(rate),over80(population),over80(confirmed_case),over80(rate)
10,2020,2020,11,11,3984472,301.0,7.554325893117081e-05,4807963,592.0,0.00012312906734099244,6804936,1296,0.0001904499910065282,6884029,1096,0.0001592090910715222,8305172,1233,0.00014846170554926497,8653322,1347,0.00015566276165384808,6707084,1031,0.00015371806883587562,3693926,507,0.00013725234344163907,1993398,285.0,0.00014297195040829778
11,2020,2020,12,12,3970070,1098.0,0.00027656943076570436,4793336,1720.0,0.00035883151108121776,6806153,3243,0.0004764806198156286,6873117,3346,0.0004868242458261659,8294787,3825,0.00046113299835185643,8645014,5174,0.0005984952713783922,6744506,4385,0.0006501588107416615,3698246,2145,0.0005800046833012191,2003794,1587.0,0.0007919975805896215
12,2021,2021,01,01,3944244,893.0,0.00022640587144203046,4784388,1433.0,0.0002995158419425849,6792483,2235,0.0003290402051797553,6856414,2246,0.0003275764853172518,8285935,2591,0.00031269856690886423,8642700,3282,0.0003797424415981117,6794549,2644,0.00038913546726942436,3707683,1242,0.00033498009403716555,2017536,904.0,0.0004480713107473671
13,2021,2021,02,02,3927428,637.0,0.00016219266145681092,4772917,829.0,0.00017368833357043502,6771959,1597,0.0002358254088661789,6834586,1732,0.00025341695897893447,8287143,1643,0.00019825891745804314,8644918,2021,0.00023377896701854198,6840597,1756,0.00025670274100345335,3710261,801,0.00021588777716715886,2034333,450.0,0.00022120272344793108
14,2021,2021,03,03,3908794,749.0,0.00019161920530987308,4761113,978.0,0.00020541415421142074,6767952,1922,0.00028398546561795944,6812701,2131,0.0003127981104704287,8250451,2151,0.00026071302041549003,8613059,2318,0.00026912621868722833,6876287,1964,0.0002856192593473774,3694544,825,0.00022330225326860364,2021004,376.0,0.00018604614340199228
15,2021,2021,04,04,3891405,913.0,0.00023461962967103142,4753626,1520.0,0.00031975590843705417,6761949,2735,0.00040446918484596673,6802386,2596,0.0003816307983698661,8244087,3061,0.000371296421301716,8604370,3554,0.00041304592898724717,6918145,2791,0.0004034318448081097,3693918,1186,0.00032106830741776077,2032214,571.0,0.00028097434620566534
16,2021,2021,05,05,3874174,910.0,0.00023488877887260613,4746103,1469.0,0.0003095170922333544,6754283,2884,0.00042698832725842256,6788072,2837,0.0004179389965221347,8220344,3070,0.0003734636895974183,8606589,3253,0.0003779662302916986,6957802,2515,0.00036146472693531666,3694633,985,0.0002666029345810531,2041025,406.0,0.0001989196604647175
17,2021,2021,06,06,3859229,959.0,0.00024849523052402435,4741570,1346.0,0.0002838722195390978,6745313,3062,0.00045394483547316484,6775108,2780,0.00041032556233789924,8216263,3087,0.00037571825536743405,8590314,2938,0.00034201310918320334,7001815,1771,0.0002529344177188343,3694311,515,0.00013940353153808654,2048477,165.0,8.054764588521131e-05
18,2021,2021,07,07,3843759,2479.0,0.0006449415793237818,4737829,4335.0,0.0009149760364926637,6733054,9890,0.0014688728175951062,6764334,6967,0.0010299609688108244,8205797,7308,0.0008905899085731709,8591085,6810,0.0007926821815870754,7039371,2591,0.0003680726587645402,3699044,713,0.00019275250578257516,2057296,279.0,0.00013561490422379666
19,2021,2021,08,08,3827185,3424.0,0.0008946523358552042,4733729,5541.0,0.0011705359559028411,6721376,12236,0.0018204605723589932,6753189,8925,0.0013215978406646105,8192793,8353,0.001019554625632553,8598568,8237,0.0009579502075229271,7072000,4364,0.0006170814479638009,3703046,1364,0.000368345410778046,2067830,629.0,0.00030418361277281017
20,2021,2021,09,09,3809849,3874.0,0.0010168382001491398,4727626,5964.0,0.0012615211101724205,6708734,13556,0.0020206494995926205,6745531,11266,0.0016701427952817947,8182067,10157,0.001241373359567943,8610979,7223,0.0008388128690129194,7097818,4982,0.0007019058533199921,3705737,1923,0.0005189251153009509,2079347,906.0,0.0004357137120451757
